date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-06-19,95.0,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1597362,megawatthours
2025-06-20,96.08000000000001,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1609234,megawatthours
2025-06-21,96.08000000000001,80.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1548247,megawatthours
2025-06-22,93.91999999999999,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1537877,megawatthours
2025-06-23,93.91999999999999,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1584468,megawatthours
2025-06-24,96.08000000000001,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1557320,megawatthours
2025-06-25,89.06,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1498039,megawatthours
2025-06-26,95.0,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1516407,megawatthours
2025-06-27,93.91999999999999,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1541160,megawatthours
2025-06-28,95.0,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1551228,megawatthours
2025-06-29,93.02,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1510724,megawatthours
2025-06-30,93.91999999999999,73.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1518885,megawatthours
2025-07-01,96.98,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1492168,megawatthours
2025-07-02,96.08000000000001,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1513665,megawatthours
2025-07-03,93.91999999999999,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1436638,megawatthours
2025-07-04,91.03999999999999,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1393075,megawatthours
2025-07-05,93.91999999999999,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1378682,megawatthours
2025-07-06,96.08000000000001,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1409726,megawatthours
2025-07-07,95.0,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1505984,megawatthours
2025-07-08,91.03999999999999,73.04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1484849,megawatthours
2025-07-09,91.03999999999999,73.04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1471587,megawatthours
2025-07-10,95.0,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1534068,megawatthours
2025-07-11,93.02,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1542283,megawatthours
2025-07-12,95.0,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1493102,megawatthours
2025-07-13,95.0,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1424677,megawatthours
2025-07-14,91.94,73.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1510140,megawatthours
2025-07-15,95.0,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1575662,megawatthours
2025-07-16,96.98,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1597302,megawatthours
2025-07-17,91.94,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1572318,megawatthours
2025-07-18,93.91999999999999,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1572266,megawatthours
2025-07-19,96.08000000000001,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1578050,megawatthours
2025-07-20,96.98,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1574575,megawatthours
2025-07-21,98.06,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1629948,megawatthours
2025-07-22,100.03999999999999,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1633215,megawatthours
2025-07-23,98.96000000000001,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1646012,megawatthours
2025-07-24,98.96000000000001,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1660157,megawatthours
2025-07-25,91.94,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1580924,megawatthours
2025-07-26,91.94,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1546613,megawatthours
2025-07-27,95.0,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1553066,megawatthours
2025-07-28,98.06,78.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1644027,megawatthours
2025-07-29,98.96000000000001,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1640643,megawatthours
2025-07-30,100.94,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1618342,megawatthours
2025-07-31,95.0,82.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1648174,megawatthours
