date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-06,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-53675,megawatthours
2025-05-06,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-52174,megawatthours
2025-05-06,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-51957,megawatthours
2025-05-07,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,570803,megawatthours
2025-05-07,CISO,California Independent System Operator,D,Demand,Central,Central,570424,megawatthours
2025-05-07,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,570231,megawatthours
2025-05-07,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,570536,megawatthours
2025-05-07,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,570803,megawatthours
2025-05-07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,528487,megawatthours
2025-05-07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,528011,megawatthours
2025-05-07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,527813,megawatthours
2025-05-07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,528324,megawatthours
2025-05-07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,528487,megawatthours
2025-05-07,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,508163,megawatthours
2025-05-07,CISO,California Independent System Operator,NG,Net generation,Central,Central,509913,megawatthours
2025-05-07,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,510870,megawatthours
2025-05-07,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,509589,megawatthours
2025-05-07,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,508163,megawatthours
2025-05-07,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-62999,megawatthours
2025-05-07,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-59282,megawatthours
2025-05-07,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-58710,megawatthours
2025-05-07,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-61208,megawatthours
2025-05-07,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-62999,megawatthours
2025-05-08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,588535,megawatthours
2025-05-08,CISO,California Independent System Operator,D,Demand,Central,Central,585729,megawatthours
2025-05-08,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,583951,megawatthours
2025-05-08,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,587255,megawatthours
2025-05-08,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,588535,megawatthours
2025-05-08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,555250,megawatthours
2025-05-08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,552437,megawatthours
2025-05-08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,550742,megawatthours
2025-05-08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,553951,megawatthours
2025-05-08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,555250,megawatthours
2025-05-08,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,530227,megawatthours
2025-05-08,CISO,California Independent System Operator,NG,Net generation,Central,Central,524431,megawatthours
2025-05-08,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,520330,megawatthours
